Year,Location,Area,Rainfall,temperature,soil_type,Irrigation,yeilds,Humidity,Crops,price,Season
2004,Mangalore,1279,2903.1,27.0,Alluvial,Drip,2570.0,57.0,Coconut,1481.18,Kharif
2004,Mangalore,13283,2903.1,27.0,Alluvial,Drip,27170.0,57.5,Coconut,1567.61,Kharif
2004,Mangalore,52119,2903.1,27.0,Alluvial,Drip,114744.0,57.0,Coconut,1534.8,Kharif
2004,Mangalore,725,2996.6,27.0,Alluvial,Drip,1402.0,55.0,Coconut,1514.8,Kharif
2004,Mangalore,12885,2996.6,27.0,Alluvial,Drip,23456.0,56.0,Coconut,1448.4,Kharif
2004,Mangalore,51179,2996.6,27.0,Alluvial,Drip,107809.0,54.0,Coconut,1448.4,Kharif
2004,Mangalore,468,3522.8,27.2,Alluvial,Drip,1132.0,58.0,Coconut,1648.77,Kharif
2004,Mangalore,11841,3522.8,27.2,Alluvial,Drip,23960.0,58.0,Coconut,1788.17,Kharif
2004,Mangalore,50975,3522.8,27.2,Alluvial,Drip,126487.0,59.0,Coconut,1742.44,Kharif
2004,Mangalore,206,3729.8,27.0,Alluvial,Drip,804.0,50.0,Coconut,1760.89,Kharif
2004,Mangalore,10922,3729.8,27.0,Alluvial,Drip,30362.0,54.0,Coconut,1642.3,Kharif
2004,Mangalore,51390,3729.8,27.0,Alluvial,Drip,124492.0,53.0,Coconut,1806.06,Kharif
2004,Mangalore,177,2746.2,27.0,Alluvial,Drip,792.0,52.0,Coconut,1549.87,Kharif
2004,Mangalore,10723,2746.2,27.0,Alluvial,Drip,34153.0,51.0,Coconut,1456.85,Kharif
2004,Kodagu,51709,2746.2,27.0,Alluvial,Drip,132551.0,57.0,Coconut,1452.27,Kharif
2004,Kodagu,146,3360.0,27.2,Alluvial,Drip,338.0,57.0,Coconut,1670.39,Kharif
2004,Kodagu,10910,3360.0,27.2,Alluvial,Drip,22966.0,60.0,Coconut,1691.23,Kharif
