Location,Year,Season,Temperature,Humidity,Rainfall
Chikmagalur,2018,Rabi,22.69,49.69,1.2
Chikmagalur,2019,Kharif,22.46,88.5,1335.89
Chikmagalur,2019,Rabi,21.73,76.6,45.76
Chikmagalur,2019,Zaid,26.88,59.77,217.03
Chikmagalur,2020,Kharif,22.15,89.78,1640.43
Chikmagalur,2020,Rabi,20.55,80.01,133.19
Chikmagalur,2020,Zaid,25.52,70.16,460.74
Chikmagalur,2021,Kharif,22.36,88.79,1186.76
Chikmagalur,2021,Rabi,20.6,82.53,272.28
Chikmagalur,2021,Zaid,24.35,73.39,518.27
Chikmagalur,2022,Kharif,21.91,89.45,1432.3
Chikmagalur,2022,Rabi,20.55,73.13,73.17
Chikmagalur,2022,Zaid,24.13,75.86,571.97
Chikmagalur,2023,Kharif,22.81,85.92,868.98
Chikmagalur,2023,Rabi,22.52,71.14,166.08
Chikmagalur,2023,Zaid,25.48,64.59,267.64
Chikmagalur,2024,Kharif,22.74,89.8,1519.22
Chikmagalur,2024,Rabi,21.33,75.05,97.76
Chikmagalur,2024,Zaid,26.21,67.98,565.1
Chikmagalur,2025,Kharif,22.23,89.37,1127.16
Chikmagalur,2025,Rabi,20.58,72.85,29.38
Chikmagalur,2025,Zaid,24.93,73.14,879.66
Davanagere,2018,Rabi,24.68,39.89,0.97
Davanagere,2019,Kharif,24.01,86.05,884.11
Davanagere,2019,Rabi,23.75,67.78,37.59
Davanagere,2019,Zaid,29.27,51.98,186.96
Davanagere,2020,Kharif,23.54,88.46,1097.29
Davanagere,2020,Rabi,22.58,70.62,102.66
Davanagere,2020,Zaid,28.23,59.77,286.26
Davanagere,2021,Kharif,24.05,84.79,638.71
Davanagere,2021,Rabi,22.82,71.73,169.53
Davanagere,2021,Zaid,27.3,60.98,358.39
Davanagere,2022,Kharif,23.62,85.69,759.26
Davanagere,2022,Rabi,23.58,58.67,39.16
Davanagere,2022,Zaid,27.22,64.08,392.56
Davanagere,2023,Kharif,24.92,79.11,447.11
Davanagere,2023,Rabi,24.97,59.22,114.33
Davanagere,2023,Zaid,28.24,54.02,163.95
Davanagere,2024,Kharif,24.32,86.91,907.89
Davanagere,2024,Rabi,23.9,62.87,41.07
Davanagere,2024,Zaid,28.85,58.18,350.27
Davanagere,2025,Kharif,23.86,85.77,715.23
Davanagere,2025,Rabi,22.71,61.48,20.93
Davanagere,2025,Zaid,27.48,62.64,486.29
Hassan,2018,Rabi,23.01,46.46,11.79
Hassan,2019,Kharif,22.57,83.78,711.52
Hassan,2019,Rabi,22.45,70.06,61.14
Hassan,2019,Zaid,27.34,55.33,207.9
Hassan,2020,Kharif,22.21,86.37,901.19
Hassan,2020,Rabi,20.89,76.72,120.1
Hassan,2020,Zaid,26.15,62.61,342.63
Hassan,2021,Kharif,22.55,84.63,763.47
Hassan,2021,Rabi,20.7,80.16,279.69
Hassan,2021,Zaid,25.21,64.3,363.75
Hassan,2022,Kharif,22.0,86.4,1218.74
Hassan,2022,Rabi,20.57,71.39,102.9
Hassan,2022,Zaid,25.01,67.42,420.81
Hassan,2023,Kharif,23.39,78.64,403.58
Hassan,2023,Rabi,23.48,63.88,115.72
Hassan,2023,Zaid,26.13,58.44,205.18
Hassan,2024,Kharif,22.87,85.2,700.14
Hassan,2024,Rabi,22.08,69.24,100.78
Hassan,2024,Zaid,27.04,58.78,360.2
Hassan,2025,Kharif,22.71,83.37,485.35
Hassan,2025,Rabi,21.65,64.07,24.09
Hassan,2025,Zaid,25.59,65.44,446.54
Kasaragodu,2018,Rabi,27.41,61.22,2.25
Kasaragodu,2019,Kharif,26.47,87.67,2947.71
Kasaragodu,2019,Rabi,27.41,73.04,111.11
Kasaragodu,2019,Zaid,29.04,72.42,521.55
Kasaragodu,2020,Kharif,26.19,87.85,3181.23
Kasaragodu,2020,Rabi,27.09,72.69,214.96
Kasaragodu,2020,Zaid,28.9,75.55,1156.62
Kasaragodu,2021,Kharif,26.34,88.11,2337.62
Kasaragodu,2021,Rabi,26.54,75.87,357.3
Kasaragodu,2021,Zaid,28.42,77.35,1078.64
Kasaragodu,2022,Kharif,25.86,88.16,2632.9
Kasaragodu,2022,Rabi,27.03,69.83,147.88
Kasaragodu,2022,Zaid,28.12,77.94,1126.77
Kasaragodu,2023,Kharif,26.63,86.08,1799.05
Kasaragodu,2023,Rabi,27.34,74.36,339.31
Kasaragodu,2023,Zaid,28.99,70.75,545.86
Kasaragodu,2024,Kharif,26.68,88.29,2832.56
Kasaragodu,2024,Rabi,27.56,72.0,253.07
Kasaragodu,2024,Zaid,29.32,74.54,907.88
Kasaragodu,2025,Kharif,26.39,88.58,2283.14
Kasaragodu,2025,Rabi,26.47,70.54,79.33
Kasaragodu,2025,Zaid,28.8,77.63,1543.72
Kodagu,2018,Rabi,24.49,53.23,3.44
Kodagu,2019,Kharif,23.04,91.85,1973.86
Kodagu,2019,Rabi,23.66,75.65,88.3
Kodagu,2019,Zaid,27.08,67.52,363.29
Kodagu,2020,Kharif,22.85,92.05,2103.7
Kodagu,2020,Rabi,23.05,76.78,163.91
Kodagu,2020,Zaid,26.36,73.28,717.18
Kodagu,2021,Kharif,23.09,91.63,1669.13
Kodagu,2021,Rabi,22.51,81.19,351.73
Kodagu,2021,Zaid,25.62,75.82,762.73
Kodagu,2022,Kharif,22.73,91.19,1987.65
Kodagu,2022,Rabi,22.91,70.64,143.43
Kodagu,2022,Zaid,25.29,77.03,735.09
Kodagu,2023,Kharif,23.33,90.01,1221.86
Kodagu,2023,Rabi,23.72,76.72,244.66
Kodagu,2023,Zaid,26.5,66.72,375.69
Kodagu,2024,Kharif,23.43,91.89,1757.83
Kodagu,2024,Rabi,23.72,73.07,176.33
Kodagu,2024,Zaid,27.0,71.62,718.84
Kodagu,2025,Kharif,23.08,91.92,1366.42
Kodagu,2025,Rabi,22.81,71.0,65.42
Kodagu,2025,Zaid,25.93,76.76,1156.44
Mangalore,2018,Rabi,27.16,56.0,0.49
Mangalore,2019,Kharif,26.0,88.48,3235.38
Mangalore,2019,Rabi,26.9,71.83,67.99
Mangalore,2019,Zaid,29.12,68.19,491.25
Mangalore,2020,Kharif,25.71,88.71,3607.49
Mangalore,2020,Rabi,26.41,72.33,172.35
Mangalore,2020,Zaid,28.77,73.17,1071.14
Mangalore,2021,Kharif,25.92,88.67,2440.93
Mangalore,2021,Rabi,25.91,75.52,326.91
Mangalore,2021,Zaid,28.22,75.42,1166.32
Mangalore,2022,Kharif,25.52,88.23,2798.97
Mangalore,2022,Rabi,26.58,67.7,100.87
Mangalore,2022,Zaid,27.88,76.39,1136.14
Mangalore,2023,Kharif,26.22,86.83,2064.24
Mangalore,2023,Rabi,26.7,73.73,294.66
Mangalore,2023,Zaid,28.93,67.4,562.02
Mangalore,2024,Kharif,26.27,88.95,3152.61
Mangalore,2024,Rabi,26.98,70.51,192.52
Mangalore,2024,Zaid,29.14,72.59,1012.93
Mangalore,2025,Kharif,25.92,88.88,2712.02
Mangalore,2025,Rabi,25.61,70.09,63.61
Mangalore,2025,Zaid,28.57,75.49,1758.85
Mysore,2018,Rabi,24.39,46.13,20.93
Mysore,2019,Kharif,23.78,80.74,572.13
Mysore,2019,Rabi,23.6,68.3,78.58
Mysore,2019,Zaid,28.5,53.58,248.47
Mysore,2020,Kharif,23.35,83.63,590.96
Mysore,2020,Rabi,22.3,73.23,145.7
Mysore,2020,Zaid,27.78,57.07,280.01
Mysore,2021,Kharif,23.77,81.72,604.82
Mysore,2021,Rabi,21.99,77.77,230.89
Mysore,2021,Zaid,26.55,61.29,371.63
Mysore,2022,Kharif,23.13,84.43,1143.78
Mysore,2022,Rabi,21.49,71.85,138.23
Mysore,2022,Zaid,26.46,63.79,431.55
Mysore,2023,Kharif,24.9,74.18,331.53
Mysore,2023,Rabi,24.67,62.91,104.11
Mysore,2023,Zaid,27.24,57.96,266.44
Mysore,2024,Kharif,24.16,81.3,492.33
Mysore,2024,Rabi,22.98,70.09,145.87
Mysore,2024,Zaid,28.21,54.95,330.62
Mysore,2025,Kharif,24.15,79.2,379.06
Mysore,2025,Rabi,22.75,62.89,40.68
Mysore,2025,Zaid,27.0,61.64,335.02
Raichur,2018,Rabi,24.61,46.37,21.78
Raichur,2019,Kharif,26.62,76.44,448.79
Raichur,2019,Rabi,25.47,60.04,10.21
Raichur,2019,Zaid,33.07,36.43,76.63
Raichur,2020,Kharif,25.61,83.9,799.52
Raichur,2020,Rabi,23.67,66.54,34.01
Raichur,2020,Zaid,31.7,44.65,195.45
Raichur,2021,Kharif,26.62,76.06,383.08
Raichur,2021,Rabi,24.63,61.88,75.46
Raichur,2021,Zaid,30.46,46.64,157.26
Raichur,2022,Kharif,25.69,80.38,573.87
Raichur,2022,Rabi,24.69,58.24,21.14
Raichur,2022,Zaid,31.32,46.13,178.25
Raichur,2023,Kharif,27.99,66.16,270.44
Raichur,2023,Rabi,25.94,56.93,57.66
Raichur,2023,Zaid,30.99,45.02,199.17
Raichur,2024,Kharif,26.65,78.53,483.97
Raichur,2024,Rabi,25.34,57.07,11.53
Raichur,2024,Zaid,31.62,46.84,211.34
Raichur,2025,Kharif,25.85,81.08,649.02
Raichur,2025,Rabi,22.76,63.76,20.53
Raichur,2025,Zaid,30.58,49.13,211.95
Shimoga,2018,Rabi,24.09,44.47,0.98
Shimoga,2019,Kharif,23.54,86.55,1071.13
Shimoga,2019,Rabi,22.87,72.68,39.91
Shimoga,2019,Zaid,28.57,54.98,185.11
Shimoga,2020,Kharif,23.08,88.68,1313.19
Shimoga,2020,Rabi,21.45,77.0,124.17
Shimoga,2020,Zaid,27.29,64.19,342.11
Shimoga,2021,Kharif,23.41,86.72,873.75
Shimoga,2021,Rabi,21.78,78.05,206.87
Shimoga,2021,Zaid,26.1,66.81,406.5
Shimoga,2022,Kharif,22.96,87.47,994.14
Shimoga,2022,Rabi,22.09,66.95,53.33
