Date,Temperature,Rainfall,Humidity,Location
2019-01-01,25.11,0.0,46.74,Mangalore
2019-01-02,24.97,0.0,45.56,Mangalore
2019-01-03,25.27,0.0,44.26,Mangalore
2019-01-04,25.68,0.0,46.12,Mangalore
2019-01-05,25.74,0.0,48.16,Mangalore
2019-01-06,25.59,0.0,55.65,Mangalore
2019-01-07,26.11,0.0,54.93,Mangalore
2019-01-08,26.39,0.0,54.53,Mangalore
2019-01-09,26.27,0.0,50.87,Mangalore
2019-01-10,26.12,0.0,52.92,Mangalore
2019-01-11,26.16,0.0,58.31,Mangalore
2019-01-12,26.57,0.0,58.21,Mangalore
2019-01-13,26.56,0.0,53.77,Mangalore
2019-01-14,26.86,0.0,49.33,Mangalore
2019-01-15,26.48,0.0,48.48,Mangalore
2019-01-16,26.56,0.0,45.54,Mangalore
2019-01-17,26.67,0.0,47.64,Mangalore
2019-01-18,26.75,0.0,52.81,Mangalore
2019-01-19,26.66,0.0,53.46,Mangalore
2019-01-20,26.76,0.0,48.22,Mangalore
2019-01-21,26.3,0.0,56.37,Mangalore
2019-01-22,26.14,0.01,65.17,Mangalore
2019-01-23,26.42,0.0,64.19,Mangalore
2019-01-24,26.13,0.0,65.6,Mangalore
2019-01-25,25.89,0.02,69.04,Mangalore
2019-01-26,25.72,0.0,67.3,Mangalore
2019-01-27,25.47,0.0,66.27,Mangalore
2019-01-28,25.7,0.0,63.43,Mangalore
2019-01-29,27.29,0.0,59.45,Mangalore
2019-01-30,27.53,0.0,58.94,Mangalore
2019-01-31,27.18,0.0,58.92,Mangalore
2019-02-01,26.84,0.0,58.5,Mangalore
2019-02-02,27.19,0.0,55.94,Mangalore
2019-02-03,27.63,0.0,53.5,Mangalore
2019-02-04,28.27,0.0,55.16,Mangalore
2019-02-05,28.71,0.0,56.04,Mangalore
2019-02-06,28.48,0.03,59.04,Mangalore
2019-02-07,27.92,0.22,65.83,Mangalore
2019-02-08,27.43,0.0,62.24,Mangalore
2019-02-09,27.87,0.0,56.07,Mangalore
2019-02-10,27.63,0.03,57.91,Mangalore
2019-02-11,28.65,0.08,61.09,Mangalore
2019-02-12,29.28,0.01,52.73,Mangalore
2019-02-13,28.95,0.0,53.61,Mangalore
2019-02-14,28.71,0.0,54.8,Mangalore
2019-02-15,28.27,0.03,63.17,Mangalore
2019-02-16,28.41,0.0,57.63,Mangalore
2019-02-17,27.17,0.0,58.63,Mangalore
2019-02-18,26.62,0.0,58.58,Mangalore
2019-02-19,27.28,0.0,57.3,Mangalore
2019-02-20,29.11,0.0,58.35,Mangalore
2019-02-21,29.32,0.0,56.15,Mangalore
2019-02-22,29.69,0.0,47.45,Mangalore
2019-02-23,29.19,0.0,49.51,Mangalore
2019-02-24,29.06,0.0,53.11,Mangalore
2019-02-25,28.45,0.04,60.83,Mangalore
2019-02-26,28.4,0.02,57.96,Mangalore
2019-02-27,27.49,0.0,58.48,Mangalore
2019-02-28,27.53,0.0,54.24,Mangalore
2019-03-01,27.94,0.0,50.56,Mangalore
2019-03-02,28.0,0.45,56.71,Mangalore
2019-03-03,28.24,0.23,59.91,Mangalore
2019-03-04,28.03,0.0,62.51,Mangalore
2019-03-05,27.89,0.0,64.28,Mangalore
2019-03-06,27.56,0.0,62.19,Mangalore
2019-03-07,27.34,0.0,56.29,Mangalore
2019-03-08,27.15,0.0,61.24,Mangalore
2019-03-09,28.7,0.02,62.77,Mangalore
2019-03-10,28.63,0.23,64.52,Mangalore
2019-03-11,28.42,0.61,66.32,Mangalore
2019-03-12,29.29,0.02,58.43,Mangalore
2019-03-13,29.48,0.0,53.7,Mangalore
2019-03-14,29.79,0.0,49.12,Mangalore
2019-03-15,29.72,0.0,51.45,Mangalore
2019-03-16,29.64,0.0,52.35,Mangalore
2019-03-17,29.34,0.0,58.21,Mangalore
2019-03-18,28.98,0.0,61.56,Mangalore
2019-03-19,28.82,0.0,61.66,Mangalore
2019-03-20,29.04,0.0,57.45,Mangalore
2019-03-21,29.24,0.0,52.45,Mangalore
2019-03-22,29.43,0.0,56.02,Mangalore
2019-03-23,29.11,0.0,60.73,Mangalore
2019-03-24,29.63,0.02,61.14,Mangalore
2019-03-25,30.24,0.04,60.76,Mangalore
2019-03-26,30.05,0.09,64.48,Mangalore
2019-03-27,29.9,0.27,65.05,Mangalore
2019-03-28,30.21,0.3,64.74,Mangalore
